idbarrio#,namebarrio,id_barrio,No lee %,Asiste a Educación 5-21 años,Asiste a Educación superior,Desempleo,Estrato,barrio,Pertenenci,Cluster,cluster
1404,Las Orquideas,1404,0.052317948,0.630219648,0.080900919,0.27921143,1,Las Orquídeas,0.34758556,0,2
1405,Jose Manuel Marroquin II,1405,0.040272702,0.598635792,0.110697217,0.227765892,2,José Manuel Marroquín II,0.306600053,0,2
1406,Jose Manuel Marroquin I,1406,0.055472803,0.583732645,0.080230109,0.262807234,2,José Manuel Marroquín I,0.30320061,0,2
1495,Puerta del Sol,1495,0.032948533,0.241121495,0.109427609,0.270719667,1,Puerta del Sol,0.258129176,0,2
1496,Los Naranjos,1496,0.025270758,0.662251656,0.121389892,0.242885182,1,Los Naranjos,0.297818792,0,2
1498,Promociones Populares B,1498,0.04534957,0.504166667,0.087444888,0.241798089,1,Promociones Populares B,0.423803741,0,2
1499,Los Naranjos II,1499,0.045023697,0.334703947,0.094239883,0.257672379,1,Los Naranjos II,0.368119845,0,2
1501,El Retiro,1501,0.084914049,0.457460733,0.058684055,0.265185185,1,El Retiro,0.487576375,0,2
1502,Los Comuneros I,1502,0.061769291,0.524227042,0.084275136,0.251701404,2,Los Comuneros I,0.339820766,0,2
1503,Laureano Gomez,1503,0.055461041,0.562526494,0.080809799,0.251253482,1,Laureano Gómez,0.323198733,0,2
1504,El Vallado,1504,0.040152742,0.590757069,0.133649618,0.23912771,2,El Vallado,0.288958581,0,2
1596,Ciudad Cordoba,1596,0.030038843,0.642797169,0.22904618,0.219864098,3,Ciudad Córdoba,0.303056027,0,2
1598,Mojica,1598,0.04602557,0.553657842,0.094830461,0.255676329,1,Mojica,0.263916243,0,2
1599,El Morichal,1599,0.047705003,0.608766119,0.178603662,0.218978873,2,El Morichal,0.327140549,0,2
1601,Mariano Ramos,1601,0.046435541,0.611571646,0.157789002,0.225365974,2,Mariano Ramos,0.161216854,2,4
1602,Republica de Israel,1602,0.040031286,0.662898253,0.186931172,0.20620285,2,República de Israel,0.129915448,2,4
1603,Union de Vivienda Popular,1603,0.038441067,0.598113525,0.139688923,0.21706065,2,Unión de Vivienda Popular,0.15898092,0,4
1604,Antonio Nariño,1604,0.038102959,0.539593417,0.125118227,0.218571738,2,Antonio Nariño,0.161541406,0,4
1605,Brisas del Limonar,1605,0.043865226,0.632027257,0.169739352,0.251550655,2,Brisas del Limonar,0.140298507,2,4
1697,Ciudad 2000,1697,0.017571885,0.804499612,0.489309413,0.162860498,4,Ciudad 2000,0.153360608,1,0
1698,La Alborada,1698,0.015781923,0.701046338,0.433285509,0.17239636,3,La Alborada,0.188405797,1,1
1701,La Playa,1701,0.009174312,0.84,0.536697248,0.162679426,3,La Playa,0.054054054,1,0
1702,Primero de Mayo,1702,0.014346966,0.667161961,0.537598945,0.16712612,4,Primero de Mayo,0.070646134,1,0
1703,Ciudadela Comfandi,1703,0.017684109,0.720647773,0.442344961,0.173194303,3,Ciudadela Comfandi,0.110518999,1,1
1774,Caney,1774,0.015367168,0.700204499,0.534618656,0.159115491,4,Caney,0.10900935,1,0
